,RMemberId,RMemberName,RObjId,RContent,replydate
0,71683281,尤冬青,1243748,大家好，我是本文作者，关于极氪001的相关问题欢迎评论或私信我，我尽力为大家解答。,17小时前
1,8242657,billxiao2012,1243748,不错不错，如果可以和小鹏联手，必定干掉**拉！！,41分钟前
2,18045764,ad601,1243748,6,2小时前
3,557972,半个冬瓜,1243748,我的小电驴也是，冬天30公里，现在能到100公里左右,2小时前
4,557972,半个冬瓜,1243748,气温在十度以上，确实更符合电动车发挥。,2小时前
5,5340840,皮皮的虾,1243748,避免不了电衰减，换我会选et5、7,2小时前
6,39162862,Be_Chill_man,1243748,好的产品自己会说话…,2小时前
7,13912495,Matthewlol,1243748,涨价 涨 涨20万才对得起这车,2小时前
8,173951670,新乡大怪兽,1243748,其它品牌电车，得用时间来考验,3小时前
9,205884205,绍兴车友8112512,1243748,按照这些车媒的续航测法永远测不准续航，最简单有效的办法是满电120km/h巡航跑到彻底没电，可惜这些媒体没一个敢做,3小时前
10,3421574,2002年的第一场雨,1243748,朋友本来还在怕哪摸哪和极客001之间犹豫的，现在已下定001,3小时前
11,4387369,小戳戳,1243748,试驾后差点定了 试了一圈确实驾驶感是最好的，后来一想现在选择太少先等等，看到雷车出新纯电，再加上一堆销售天天催我下单马上涨价，彻底坚固了我再等三四年，那时候传统车企肯定都下水了，多点选择,3小时前
12,12674876,乐戈壁,1243748,让厂家自己涨价玩去吧，10块的油价也没电车费钱,4小时前
13,27604213,纵横VV天下,1243748,这台车用的什么品牌电机？,4小时前
14,17862279,創馳藍天,1243748,多花8万多续航几十公里,4小时前
15,3358499,郑州车友3445390,1243748,车企表示非常喜欢NEDC标准，就算假，你们这些屁民消费者，能奈我何！,4小时前
16,16839242,我是一台增鸭发动鸡,1243748,我们宁波产的车，打算买这个高性能版本，但是86电池的难道不应该比100电池的车轻加速更快吗？,4小时前
17,2355767,longfengmingcha,1243748,我想知道86电池重量更轻，会不会0-100更快一点呢？,5小时前
18,35860138,憧憬999,1243748,拿100度电池的001和蔚来的ET7去对比下,5小时前
19,76882061,那天的雨gmn,1243748,36万多为什么不考虑特斯拉model Y,5小时前
20,202091307,扬州车友5195093,1243748,0-100是很快但是能持久吗？高速上一直跑120KM能跑多少公里？,5小时前
21,10694874,青岛车友5112033,1243748,高速谁跑90？货车吗,5小时前
22,7931433,可怜的房东,1243748,电动时代，01已经越来越不值钱了,5小时前
23,9042697,松岛小梅子,1243748,试驾了一次就直接定了[捂脸]然后就是各种车机的负面消息，好难受,5小时前
24,4234437,买车图个大吉大利,1243748,电动门，刚上手真高级、用两天有点难受、用久了真香。车机更新了，现在已经不差了，键盘侠自己去线下试驾去,5小时前
25,173918760,成都车友4077115,1243748,啥时候冬天告诉巡航有800公里，出门随处可见充电桩，充满2分钟的时候我就考虑买电动车。我有个预感，电费会越来越贵，参考一起美团，滴滴，UBER刚出来的时候也是补贴，培养你消费习惯。然后慢慢提价。很可能几年后电动车是使用成本接近甚至超过燃油车。再加上换电池以及保值率不行，实际使用成本更高,5小时前
26,36829890,MoonWalkersChen,1243748,不知道616能不能与之一战,5小时前
